jellycat_name,price,information,link,image_link,date_created
Amore Corgi,37.5,Medium  - 1253Buy MeOut of StockAmore Corgi $37.50 USD            (3),/us/amore-corgi-am2cor/,https://www.jellycat.com/images/products/medium/AM2COR.jpg,07/12/2023 08:21:26
Alexis Anglerfish,32.5,One Size  - 164Buy MeOut of StockAlexis Anglerfish $32.50 USD            (2),/us/alexis-anglerfish-ang3a/,https://www.jellycat.com/images/products/medium/ANG3A.jpg,07/12/2023 08:21:26
Bartholomew Bear Pumpkin,50,Large  - 1090Buy MeOut of StockBack in StockBartholomew Bear Pumpkin $50.00 USD            (17),/us/bartholomew-bear-pumpkin-barl2pum/,https://www.jellycat.com/images/products/medium/BARL2PUM.jpg,07/12/2023 08:21:26
Bashful Hedgehog,25,Medium  - 51Buy MeOut of StockBashful Hedgehog $25.00 USD            (5),/us/bashful-hedgehog-bas3hedg/,https://www.jellycat.com/images/products/medium/BAS3HEDG.jpg,07/12/2023 08:21:26
Bashful Pegasus,27.5,Medium  - 2002Buy MeOut of StockNew InBashful Pegasus $27.50 USD            (4),/us/bashful-pegasus-bas3peg/,https://www.jellycat.com/images/products/medium/BAS3PEG.jpg,07/12/2023 08:21:26
If I Were an Owl Board Book,13.5,One Size  - 465Buy MeOut of StockIf I Were an Owl Board Book $13.50 USD  ,/us/if-i-were-an-owl-board-book-bb444owln/,https://www.jellycat.com/images/products/medium/BB444OWLN.jpg,07/12/2023 08:21:26
Bashful Bunny Pink Bag Charm,15,One Size  - 514Buy MeOut of StockLimited StockBashful Bunny Pink Bag Charm $15.00 USD            (3),/us/bashful-bunny-pink-bag-charm-bb4pbc/,https://www.jellycat.com/images/products/medium/BB4PBC.jpg,07/12/2023 08:21:26
Betty Corgi Bag Charm,23,One Size  - 3128Buy MeOut of StockBetty Corgi Bag Charm $23.00 USD            (1),/us/betty-corgi-bag-charm-bet4bc/,https://www.jellycat.com/images/products/medium/BET4BC.jpg,07/12/2023 08:21:26
Rory Le Courageux Petit Lion Livre (The Very Brave Lion),15,One Size  - 194Buy MeOut of StockRory Le Courageux Petit Lion Livre (The Very Brave Lion) $15.00 USD  ,/us/rory-le-courageux-petit-lion-livre-the-very-brave-lion-bk4blf/,https://www.jellycat.com/images/products/medium/BK4BLF.jpg,07/12/2023 08:21:26
Lapin Timide Et Ses Petites Aventures Livre (Little Me),15,One Size  - 234Buy MeOut of StockLapin Timide Et Ses Petites Aventures Livre (Little Me) $15.00 USD  ,/us/lapin-timide-et-ses-petites-aventures-livre-little-me-bk4lmf/,https://www.jellycat.com/images/products/medium/BK4LMF.jpg,07/12/2023 08:21:26
