,jellycat_id,size,price,stock
0,e9d90325-309f-440a-b0af-05f87bb6619e,"HUGE - H20"" X W8""",$85.00 USD,In Stock
1,e9d90325-309f-440a-b0af-05f87bb6619e,"MEDIUM - H12"" X W5""",$35.00 USD,In Stock
0,56a0b3b9-45e8-4761-953b-e4c7a462e63b,"ONE SIZE - H9"" X W7""",$15.00 USD,In Stock
0,61a12d0b-57be-4883-93cb-2aa3feb48746,"ONE SIZE - H13"" X W4""",$50.00 USD,In Stock
0,7a3b55e5-4298-4c98-969b-b926eda94201,"ONE SIZE - H22"" X W24""",$220.00 USD,In Stock
0,eea1d9da-492b-4d03-8871-d03f617cb101,"REALLY BIG - H26"" X W9""",$165.00 USD,In Stock
1,eea1d9da-492b-4d03-8871-d03f617cb101,"HUGE - H19"" X W6""",$110.00 USD,In Stock
2,eea1d9da-492b-4d03-8871-d03f617cb101,"MEDIUM - H13"" X W4""",$45.00 USD,In Stock
0,0d99c119-61dd-40ad-b5ac-aa4baa670c2e,"ONE SIZE - H5"" X W4""",$28.00 USD,In Stock
0,61bb75d2-67ab-43dd-b4a3-8dcc0dd94be4,"ONE SIZE - H6"" X W9""",$45.00 USD,In Stock
0,dd4c655c-52c3-4111-ba49-b9c84f619940,"MEDIUM - H18"" X W7""",$55.00 USD,In Stock
0,413c6bb3-d09c-4d6f-9f96-e9fc3ab834eb,"LARGE - H9"" X W25""",$110.00 USD,In Stock
0,c3fc0ec6-a1ad-4974-9581-9f576d59dcf4,"HUGE - H7"" X W26""",$120.00 USD,In Stock
1,c3fc0ec6-a1ad-4974-9581-9f576d59dcf4,"LARGE - H5"" X W20""",$65.00 USD,In Stock
2,c3fc0ec6-a1ad-4974-9581-9f576d59dcf4,"LITTLE - H3"" X W12""",$32.50 USD,In Stock
0,b6951f67-8869-4e12-87c3-782232190140,"ONE SIZE - H5"" X W9""",$28.00 USD,In Stock
0,6cdd1389-d4f5-43fd-b136-8dd0ad7d1c3e,"ONE SIZE - H5"" X W9""",$28.00 USD,In Stock
0,4e47b633-a85c-428b-891f-d9b99918274f,"ONE SIZE - H7"" X W2""",$23.00 USD,In Stock
0,26ac98dc-0ff1-4ebd-be31-c8b04e8376a0,"ONE SIZE - H5"" X W9""",$28.00 USD,In Stock
0,86dc4e6d-9f74-4c3f-98da-35f9842cc06e,"ONE SIZE - H5"" X W9""",$28.00 USD,In Stock
0,9208e19c-db56-4d32-aaef-46c3efc00bad,"ONE SIZE - H8"" X W9""",$40.00 USD,In Stock
0,b8e669be-1f75-4966-88f6-ceb7d9f2e365,"MEDIUM - H12"" X W5""",$32.00 USD,In Stock
1,b8e669be-1f75-4966-88f6-ceb7d9f2e365,"SMALL - H7"" X W4""",$25.00 USD,In Stock
0,b3f53082-cd65-4aaf-965d-71749204b469,"ONE SIZE - H9"" X W8""",$40.00 USD,In Stock
0,dd6b402b-4b6c-4722-8330-f09bb6aff5f1,"ONE SIZE - H2"" X W5""",$20.00 USD,In Stock
0,bd389d94-a028-4654-96ca-47711e59cd70,"MEDIUM - H10"" X W7""",$40.00 USD,In Stock
0,fa872ea7-8937-4324-b279-1900788864f6,"ONE SIZE - H14"" X W9""",$55.00 USD,In Stock
0,e8c70668-62fe-4c8c-93d4-51a1e1604ee3,"ONE SIZE - H5"" X W6""",$28.00 USD,In Stock
0,8cac0d19-0fb1-4097-9af2-142b79a77b21,"MEDIUM - H10"" X W5""",$45.00 USD,In Stock
0,cca91f2c-791d-424e-af64-6f5e21a8b59f,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
0,e7cfb2aa-80fc-4e49-9b94-aa4d3b85ea5a,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
1,e7cfb2aa-80fc-4e49-9b94-aa4d3b85ea5a,"SMALL - H7"" X W4""",$18.00 USD,In Stock
0,731c23ce-a899-4a00-8ae2-d36ec7ad6a4b,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
1,731c23ce-a899-4a00-8ae2-d36ec7ad6a4b,"SMALL - H7"" X W4""",$18.00 USD,In Stock
0,b5563444-bf6d-4845-a642-3f8ec227fecd,"SMALL - H7"" X W4""",$28.00 USD,In Stock
0,fbb8ec2d-0133-4bdd-9cd2-df79b6f681f2,"SMALL - H7"" X W4""",$28.00 USD,In Stock
0,570c90f7-9933-4ee9-b36d-c88c6e4ec7a8,"ONE SIZE - H7"" X W7""",$15.00 USD,In Stock
0,9412c9d1-6aa9-40e0-84bc-5ea7865a4d30,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
1,9412c9d1-6aa9-40e0-84bc-5ea7865a4d30,"SMALL - H7"" X W4""",$18.00 USD,In Stock
0,05eaafc1-8d74-43fb-9b1d-71adc27d43d3,"ONE SIZE - H5"" X W5""",$28.00 USD,In Stock
0,226b0968-76f8-4e55-9e06-758c20fbd99c,"ONE SIZE - H11"" X W3""",$32.50 USD,In Stock
0,0609aeb5-8880-4029-9404-678598503a0c,"ONE SIZE - H7"" X W5""",$32.50 USD,In Stock
0,3d312fbc-86ed-4952-bbdb-94110fc7709e,"MEDIUM - H10"" X W7""",$40.00 USD,In Stock
0,3b270709-9f1b-4895-86e7-d08c7f3d2a0b,"LARGE - H14"" X W8""",$50.00 USD,In Stock
0,bb7ffec5-1db0-4a54-9dae-52d8916a2d92,"MEDIUM - H12"" X W5""",$28.00 USD,In Stock
0,7d810129-a8b2-4c13-9a3b-a600d69281a0,"ONE SIZE - H6"" X W6""",$13.50 USD,In Stock
0,09465754-8a37-4738-a8fc-1bf75ab1becf,"ONE SIZE - H4"" X W2""",$23.00 USD,In Stock
0,0a56aa20-dfe0-4497-8820-cd9dec458209,"ONE SIZE - H9"" X W9""",$15.00 USD,In Stock
0,7034b014-bcf4-43a8-8d4b-18c31c1d7b51,"ONE SIZE - H8"" X W8""",$15.00 USD,In Stock
0,3db14df1-49f6-46e5-8ff1-a9b1b190e1bc,"ONE SIZE - H7"" X W7""",$15.00 USD,In Stock
0,d26b1890-461a-4d6d-911b-445afb87024c,"ONE SIZE - H8"" X W8""",$15.00 USD,In Stock
0,d07a0b71-5f56-49a9-8fd1-6b291a5721e7,"ONE SIZE - H9"" X W4""",$30.00 USD,In Stock
0,6a672e01-c889-43fa-a8a7-3ee676400eaf,"ONE SIZE - H9"" X W4""",$30.00 USD,In Stock
0,a407f14e-c865-4127-b8de-4229f86f91e2,"ONE SIZE - H12"" X W6""",$55.00 USD,In Stock
0,f74ef3ff-2f2a-4cb1-b951-a90ab4fabbd8,"ONE SIZE - H10"" X W2""",$32.50 USD,In Stock
0,8d504c08-420e-47f2-adc6-a05d10a5469d,"ONE SIZE - H7"" X W3""",$25.00 USD,In Stock
0,19ee8ac1-1e99-4e07-987e-605e4e464d4f,"ONE SIZE - H7"" X W3""",$25.00 USD,In Stock
0,40dba78b-b34f-4e46-88e8-06890a0cfca3,"ONE SIZE - H6"" X W4""",$28.00 USD,In Stock
0,6ffd0b70-8570-405d-8486-9bbde5ed4681,"ONE SIZE - H6"" X W4""",$28.00 USD,In Stock
0,f1fbd833-0cdb-4485-bb3e-ca59ea532c56,"ONE SIZE - H6"" X W4""",$28.00 USD,In Stock
0,e56f4d7d-bd5d-480d-86f0-4394a9e535f4,"ONE SIZE - H11"" X W4""",$40.00 USD,In Stock
0,83af7109-e7ec-4050-86a6-710031de06fd,"ONE SIZE - H11"" X W25""",$150.00 USD,In Stock
0,bb37e79c-1f46-4fcc-99e7-550ef02d3452,"ONE SIZE - H10"" X W6""",$45.00 USD,In Stock
0,e05cc295-c006-4d5a-81e3-2e269cd55724,"ONE SIZE - H13"" X W13""",$65.00 USD,In Stock
0,47d63383-23e2-4be6-8b89-00066ee36415,"ONE SIZE - H7"" X W4""",$22.00 USD,In Stock
0,0a0a777c-2876-42a8-b528-05dac7e6aeb6,"ONE SIZE - H6"" X W10""",$35.00 USD,In Stock
0,412d9bfd-50d5-44c5-b1ee-c884a515ea78,"ONE SIZE - H4"" X W6""",$25.00 USD,In Stock
0,c919f0dc-212a-42f6-837e-04a1ca78e7e4,"ONE SIZE - H4"" X W2""",$23.00 USD,In Stock
0,5ddccab8-89c1-41f1-ab12-17ff890ca566,"ONE SIZE - H3"" X W3""",$23.00 USD,In Stock
0,81008236-9172-4100-9f2c-6d3e6e6ca829,"ONE SIZE - H7"" X W7""",$40.00 USD,In Stock
0,b614447f-9655-48e2-892a-178be9cdce19,"ONE SIZE - H19"" X W7""",$75.00 USD,In Stock
0,f9be5d22-488a-437d-8b3f-218546fc29b1,"ONE SIZE - H7"" X W7""",$32.50 USD,In Stock
0,794c85eb-6d7e-4ebc-8496-47d3872f2ecb,"ONE SIZE - H13"" X W13""",$25.00 USD,In Stock
0,7e5cc5fd-9db3-4725-a7e5-1fccb6a0c39a,"SMALL - H3"" X W14""",$27.50 USD,In Stock
0,7b0bd1da-f691-4330-adea-a6b3972857d1,"ONE SIZE - H3"" X W11""",$28.00 USD,In Stock
0,7a53e480-6444-4421-a9e7-d499773f3beb,"ONE SIZE - H11"" X W8""",$40.00 USD,In Stock
0,80bf8ad4-0feb-4d72-bf64-28e85098ec22,"ONE SIZE - H19"" X W7""",$75.00 USD,In Stock
0,f47a98fc-700d-4b43-9667-57a84a291043,"REALLY BIG - H30"" X W12""",$130.00 USD,In Stock
1,f47a98fc-700d-4b43-9667-57a84a291043,"LARGE - H19"" X W7""",$53.00 USD,In Stock
2,f47a98fc-700d-4b43-9667-57a84a291043,"LITTLE - H9"" X W4""",$30.00 USD,Returning to stock 3-4 weeks
3,f47a98fc-700d-4b43-9667-57a84a291043,"TINY - H6"" X W3""",$18.00 USD,Returning to stock 2-3 months
0,3294a1b3-fca6-4ee0-b0ec-0ff5572211c4,"ONE SIZE - H7"" X W6""",$30.00 USD,In Stock
0,d39e8724-536d-411c-b6e4-193e5a9d6389,"ONE SIZE - H4"" X W2""",$17.00 USD,In Stock
0,0f40b3f0-af4f-4539-a45f-932e3878cc39,"MEDIUM - H10"" X W5""",$30.00 USD,In Stock
0,3db741c8-3a61-437d-864f-485c89304c10,"MEDIUM - H12"" X W5""",$27.50 USD,In Stock
0,dd8e30bc-21c4-4d60-a5aa-4e77d5625b0d,"HUGE - H20"" X W8""",$85.00 USD,In Stock
1,dd8e30bc-21c4-4d60-a5aa-4e77d5625b0d,"MEDIUM - H12"" X W5""",$35.00 USD,In Stock
0,e0968ed9-b4e5-49d0-bbd7-edd29aab81ab,"TINY - H5"" X W2""",$15.00 USD,In Stock
0,cfe91e85-bfaf-4fd9-b542-af51fe66d089,"ONE SIZE - H7"" X W7""",$15.00 USD,In Stock
0,4cc727f2-1f2a-4dd3-b040-a4a1245d44e7,"ONE SIZE - H7"" X W9""",$15.00 USD,In Stock
