jellycatid,size,price,stock,datecreated
2ee4f180-1c4e-47b9-8b48-2a428d21b6c5,"HUGE - H20"" X W8""",85.0,In Stock,2024/01/05 19:43:25
2ee4f180-1c4e-47b9-8b48-2a428d21b6c5,"MEDIUM - H12"" X W5""",35.0,In Stock,2024/01/05 19:43:25
edd5cc70-570a-4127-a1f1-8842b0451594,"ONE SIZE - H9"" X W7""",15.0,In Stock,2024/01/05 19:43:27
104fa54e-a192-450c-ab9d-72f22aef2b1d,"ONE SIZE - H13"" X W4""",50.0,In Stock,2024/01/05 19:43:28
323dac02-bb87-4b83-9171-00a1ff795125,"ONE SIZE - H22"" X W24""",220.0,In Stock,2024/01/05 19:43:30
7b31f337-b499-434c-9ede-55f022114ef8,"REALLY BIG - H26"" X W9""",165.0,In Stock,2024/01/05 19:43:32
7b31f337-b499-434c-9ede-55f022114ef8,"HUGE - H19"" X W6""",110.0,In Stock,2024/01/05 19:43:32
7b31f337-b499-434c-9ede-55f022114ef8,"MEDIUM - H13"" X W4""",45.0,Returning to stock next week,2024/01/05 19:43:32
a5cb3f1c-23e9-478f-968d-9dd2374dd080,"ONE SIZE - H5"" X W4""",28.0,In Stock,2024/01/05 19:43:34
8dbdab81-5aa1-4e7e-9bf1-5094118e8ad2,"ONE SIZE - H6"" X W9""",45.0,In Stock,2024/01/05 19:43:35
27965c50-d565-4962-a033-8d0b8c9e6366,"MEDIUM - H18"" X W7""",55.0,In Stock,2024/01/05 19:43:37
06b8f3e5-3ed4-4036-832d-8b03a5094c41,"LARGE - H9"" X W25""",110.0,In Stock,2024/01/05 19:43:39
fd380970-69aa-4e15-aca6-11cf4b5666fd,"HUGE - H7"" X W26""",120.0,In Stock,2024/01/05 19:43:41
fd380970-69aa-4e15-aca6-11cf4b5666fd,"LARGE - H5"" X W20""",65.0,In Stock,2024/01/05 19:43:41
fd380970-69aa-4e15-aca6-11cf4b5666fd,"LITTLE - H3"" X W12""",32.5,In Stock,2024/01/05 19:43:41
ab69c288-ed3b-4c64-864e-8b808688d26f,"ONE SIZE - H5"" X W9""",28.0,In Stock,2024/01/05 19:43:42
ccf6e693-aa04-4ae8-9c8a-1a28741dc241,"ONE SIZE - H5"" X W9""",28.0,In Stock,2024/01/05 19:43:44
32547ee5-956b-48b3-bbb9-557a08e266a0,"ONE SIZE - H7"" X W2""",23.0,In Stock,2024/01/05 19:43:45
111ae895-def7-416c-b2f1-4f2c842eab04,"ONE SIZE - H5"" X W9""",28.0,In Stock,2024/01/05 19:43:47
8eaccf79-d3ef-45f9-bec5-335618f7e773,"ONE SIZE - H5"" X W9""",28.0,In Stock,2024/01/05 19:43:49
6d9bfd4e-c02d-4201-a02e-d671e295c77e,"ONE SIZE - H8"" X W9""",40.0,In Stock,2024/01/05 19:43:50
19801cc3-afef-4294-8879-0ae11adc672f,"MEDIUM - H12"" X W5""",32.0,In Stock,2024/01/05 19:43:52
19801cc3-afef-4294-8879-0ae11adc672f,"SMALL - H7"" X W4""",25.0,In Stock,2024/01/05 19:43:52
cebf88e8-8cf7-4dbc-9bd6-f188e30c79be,"ONE SIZE - H9"" X W8""",40.0,In Stock,2024/01/05 19:43:53
d4ba9e20-e6b0-4b8d-bf14-c57836e78f3d,"ONE SIZE - H2"" X W5""",20.0,In Stock,2024/01/05 19:43:55
77255dd9-ee45-495e-bf3e-9e9da60e3d1b,"MEDIUM - H10"" X W7""",40.0,In Stock,2024/01/05 19:43:56
e53f4974-0e86-4f1f-bf60-bad46c3fc507,"ONE SIZE - H14"" X W9""",55.0,In Stock,2024/01/05 19:43:58
5ab6f048-aab2-4451-b884-7591302c32a9,"ONE SIZE - H5"" X W6""",28.0,In Stock,2024/01/05 19:44:00
2cf43576-b56a-4a34-9197-6d45fa627582,"MEDIUM - H10"" X W5""",45.0,In Stock,2024/01/05 19:44:01
