jellycatid,jellycatname,size,price,stock,datecreated,height,width
6e58d726-04ad-44ab-84e9-c2e1533ca003,Bashful Luxe Bunny Azure,HUGE,85.0,In Stock,2024/01/06 07:37:14,20,8
6e58d726-04ad-44ab-84e9-c2e1533ca003,Bashful Luxe Bunny Azure,MEDIUM,35.0,In Stock,2024/01/06 07:37:14,12,5
d46d24ab-b5b4-413a-bbcf-dd4e65bc470b,All Kinds of Cats Book,ONE SIZE,15.0,In Stock,2024/01/06 07:37:17,9,7
7a15559c-b847-4a95-ad59-4b57a9805259,Fergus Frog,ONE SIZE,50.0,In Stock,2024/01/06 07:37:20,13,4
d0d00bb8-d520-4d63-aff8-3336e46f155e,Jellycat Head Giant,ONE SIZE,220.0,In Stock,2024/01/06 07:37:22,22,24
f5b9ef8b-ef76-4e2d-bdf6-db2248bb1725,Jellycat Jack,REALLY BIG,165.0,In Stock,2024/01/06 07:37:25,26,9
f5b9ef8b-ef76-4e2d-bdf6-db2248bb1725,Jellycat Jack,HUGE,110.0,In Stock,2024/01/06 07:37:25,19,6
f5b9ef8b-ef76-4e2d-bdf6-db2248bb1725,Jellycat Jack,MEDIUM,45.0,Returning to stock next week,2024/01/06 07:37:25,13,4
fa4536c0-390a-44cd-8ce6-cd862d2b8b04,Jellycat Bag Charm,ONE SIZE,28.0,In Stock,2024/01/06 07:37:26,5,4
07b6eae9-446e-4e8c-abe2-6a8703f91b8a,Jellycat Bag,ONE SIZE,45.0,In Stock,2024/01/06 07:37:28,6,9
b4685b6b-6fb3-45c7-b057-5402896a9d4b,Junglie Monkey,MEDIUM,55.0,In Stock,2024/01/06 07:37:30,18,7
99241227-1aef-49cf-b213-3b2e0c7453e7,Truffles Sheep,LARGE,110.0,In Stock,2024/01/06 07:37:31,9,25
84486614-3f2e-4387-8a26-1e4cb9b16c54,Golden Dragon,HUGE,120.0,In Stock,2024/01/06 07:37:33,7,26
84486614-3f2e-4387-8a26-1e4cb9b16c54,Golden Dragon,LARGE,65.0,In Stock,2024/01/06 07:37:33,5,20
84486614-3f2e-4387-8a26-1e4cb9b16c54,Golden Dragon,LITTLE,32.5,In Stock,2024/01/06 07:37:33,3,12
7a2ed4ed-cbcf-45c4-a816-13f24e8183e0,Golden Dragon Bag Charm,ONE SIZE,28.0,In Stock,2024/01/06 07:37:35,5,9
74edf79a-9892-4063-bc82-7a2e377ebebd,Lavender Dragon Bag Charm,ONE SIZE,28.0,In Stock,2024/01/06 07:37:36,5,9
00d5b509-788f-42d4-ab4b-7f97d2afe083,Little Dragon Bag Charm,ONE SIZE,23.0,In Stock,2024/01/06 07:37:38,7,2
4fcb48b4-4d93-49ad-8f65-f0b49f6bfd42,Rose Dragon Bag Charm,ONE SIZE,28.0,In Stock,2024/01/06 07:37:39,5,9
300885e6-8a9b-4644-9c81-8468eafe3756,Snow Dragon Bag Charm,ONE SIZE,28.0,In Stock,2024/01/06 07:37:41,5,9
b5c9cea2-3311-40f0-9bd4-0eb085a2059c,Aimee Sheep,ONE SIZE,40.0,In Stock,2024/01/06 07:37:43,8,9
0c2e4db1-6860-4def-b9c1-8a60ee526aa7,Bashful Red Love Heart Bunny,MEDIUM,32.0,In Stock,2024/01/06 07:37:44,12,5
0c2e4db1-6860-4def-b9c1-8a60ee526aa7,Bashful Red Love Heart Bunny,SMALL,25.0,In Stock,2024/01/06 07:37:44,7,4
2168f104-034d-41c8-9b05-576ac09c7083,Fabian Frog Prince,ONE SIZE,40.0,In Stock,2024/01/06 07:37:46,9,8
73b7c52c-d978-4c9d-b11b-412ca01dd07a,Loulou Love Bug,ONE SIZE,20.0,In Stock,2024/01/06 07:37:47,2,5
eaf67a77-a8cb-4906-8b47-55e50dbc35a8,Amore Bunny,MEDIUM,40.0,In Stock,2024/01/06 07:37:49,10,7
9a8624cc-eb3d-4b2c-a07f-7793d6efdee2,Bibbly Bobbly Sheep,ONE SIZE,55.0,In Stock,2024/01/06 07:37:50,14,9
0bf15293-a86f-4d1a-9e52-9cee2182ca52,Brynlee Bee,ONE SIZE,28.0,In Stock,2024/01/06 07:37:52,5,6
cd82cd16-ae64-43a1-8d13-f91ace7beb09,Bartholomew Bear Bathrobe,MEDIUM,45.0,In Stock,2024/01/06 07:37:54,10,5
59e2d8d8-8985-4693-b3f6-1ee76731204d,Bashful Duckling,MEDIUM,28.0,In Stock,2024/01/06 07:37:56,12,5
