jellycatsizeid,jellycatid,jellycatname,size,price,stock,height,width,datecreated
badb635a-eb46-4592-87e5-55c3e0872b4e,9b9b8631-42c2-43d4-95d8-12e0d6ffbdf0,Bashful Luxe Bunny Azure,HUGE,85.0,In Stock,20.0,8.0,2024/01/08 19:11:55
2728e9cf-5c02-4c3b-9612-93a64d638158,9b9b8631-42c2-43d4-95d8-12e0d6ffbdf0,Bashful Luxe Bunny Azure,MEDIUM,35.0,In Stock,12.0,5.0,2024/01/08 19:11:55
58bbeec9-f599-4a4e-8e28-2d54fb8dba12,e859689f-729a-42be-80cd-ba06db585941,All Kinds of Cats Book,ONE SIZE,15.0,In Stock,9.0,7.0,2024/01/08 19:11:56
219e430d-7f29-48f2-bb6c-f376cf72d855,e40b4800-b9fa-4de1-9e3c-41598c28e734,Fergus Frog,ONE SIZE,50.0,In Stock,13.0,4.0,2024/01/08 19:11:58
2c07c9da-fe8e-4f35-860a-4b9ed7083399,d274cea0-2880-45ff-a9f9-49342d97e840,Jellycat Head Giant,ONE SIZE,220.0,In Stock,22.0,24.0,2024/01/08 19:12:00
b2044ec9-d7ec-4692-a380-1d6e7024b227,568f558d-e999-4da3-b338-03eb70c9db1c,Jellycat Jack,REALLY BIG,165.0,In Stock,26.0,9.0,2024/01/08 19:12:02
407cffbe-b1c3-44be-b01d-23f9979f31ae,568f558d-e999-4da3-b338-03eb70c9db1c,Jellycat Jack,HUGE,110.0,In Stock,19.0,6.0,2024/01/08 19:12:02
0f9776e0-187b-486a-a9a9-5b6666308212,568f558d-e999-4da3-b338-03eb70c9db1c,Jellycat Jack,MEDIUM,45.0,Returning to stock this week,13.0,4.0,2024/01/08 19:12:02
0c67274f-83f0-440c-9e2d-212d90249d94,d2c8582b-611a-4868-8890-491716eba33f,Jellycat Bag Charm,ONE SIZE,28.0,In Stock,5.0,4.0,2024/01/08 19:12:03
d12c7c21-3ca3-4031-8a96-824a6f3434db,55481758-63e1-4d68-8c1f-6982705181dc,Jellycat Bag,ONE SIZE,45.0,In Stock,6.0,9.0,2024/01/08 19:12:05
acc8f617-0d9e-4cce-a74a-ed8c5237661a,a74493cc-3754-434c-98f7-efce32f570a6,Junglie Monkey,MEDIUM,55.0,In Stock,18.0,7.0,2024/01/08 19:12:07
