,jellycat_id,jellycat_name,information,link,most_recent_date
0,0c8750d1-bcac-44a9-a697-84a2b56c78b6,Wriggidig Bug,One Size  - 560Buy MeOut of StockWriggidig Bug $23.50 USD            (5),/us/wriggidig-bug-wrig3bg/,2023-12-14 14:26:25
1,83d501b8-1bda-4780-972e-d65d5aa7661a,Bashful Tangerine Bunny with Personalised Cream Jumper,Medium  - 13Buy MeOut of StockPersonalisedBashful Tangerine Bunny with Personalised Cream Jumper $35.00 USD  ,/us/bashful-tangerine-bunny-with-personalised-cream-jumper-jumpcbas3bta/,2023-12-14 14:26:25
2,5ee83bbf-3b10-4916-b576-becce587e78d,Nippit Beaver,One Size  - 2374Buy MeOut of StockNippit Beaver $15.00 USD            (4),/us/nippit-beaver-nip3b/,2023-12-14 14:26:25
3,eb25afeb-5707-4044-86eb-e26a545f501c,Blossom Cream Bunny,Large Medium Small Buy MeOut of StockOut of StockBlossom Cream Bunny $17.50 USD            (22),/us/blossom-cream-bunny-bl3cbn/,2023-12-14 14:26:25
4,658fbfe9-7ec5-4439-9da7-d83d80fcb3d5,Blossom Tulip Bunny with Personalised Cream Jumper,Medium  - 1068Buy MeOut of StockPersonalisedBlossom Tulip Bunny with Personalised Cream Jumper $37.50 USD  ,/us/blossom-tulip-bunny-with-personalised-cream-jumper-jumpcbln3btp/,2023-12-14 14:26:25
5,3a954b9a-a184-4201-a147-2ebdf626f832,Bashful Shimmer Bunny with Personalised Red Jumper,Medium  - 1060Buy MeOut of StockPersonalisedBashful Shimmer Bunny with Personalised Red Jumper $35.00 USD  ,/us/bashful-shimmer-bunny-with-personalised-red-jumper-jumprbas3shim/,2023-12-14 14:26:25
6,7dfb5d1b-2c06-4470-b372-7eb26d104ab0,Personalised Sage Dragon Huge,Huge Buy MeOut of StockOut of StockPersonalised Sage Dragon Huge $116.00 USD  ,/us/personalised-sage-dragon-huge-perssage1dd/,2023-12-14 14:26:25
7,0c9109b3-2fad-4bb1-bf26-389d76f30c8b,Quaxy Pig,One Size  - 174Buy MeOut of StockQuaxy Pig $35.00 USD            (1),/us/quaxy-pig-quax3p/,2023-12-14 14:26:25
8,c41e14a0-7fd7-4bf2-b097-bb9d953f3eec,Blossom Cream Bunny with Personalised Cream Jumper,Medium Buy MeOut of StockOut of StockBlossom Cream Bunny with Personalised Cream Jumper $37.50 USD  ,/us/blossom-cream-bunny-with-personalised-cream-jumper-jumpcbl3cbnn/,2023-12-14 14:26:25
9,68612e38-3a1a-4f24-8235-74790672f7ae,Birdling Hummingbird,One Size  - 1845Buy MeOut of StockBirdling Hummingbird $15.00 USD            (3),/us/birdling-hummingbird-bir6hum/,2023-12-14 14:26:25
10,9da7a0c7-82c1-438d-b301-ac9e85edd1bf,Bashful Pink Bunny Grabber,One Size Buy MeOut of StockOut of StockBashful Pink Bunny Grabber $15.00 USD            (2),/us/bashful-pink-bunny-grabber-pb4gr/,2023-12-14 14:26:25
11,f020283d-8e91-47c3-9f87-7060c24ad100,If I Were A Lamb Book and Bashful Lamb,SmallBuy MeOut of StockOut of StockIf I Were A Lamb Book and Bashful Lamb $30.00 USD  ,/us/if-i-were-a-lamb-book-and-bashful-lamb-setbb444lbn/,2023-12-14 14:26:25
12,8de2898c-0ebd-4d57-9ae3-8e2ba0e33587,Personalised Bashful Pink Bunny Medium,Medium  - 402Buy MeOut of StockPersonalisedPersonalised Bashful Pink Bunny Medium $31.00 USD            (1),/us/personalised-bashful-pink-bunny-medium-persbas4bp/,2023-12-14 14:26:25
13,37b792c5-2926-42f8-a2cb-921791b9dac8,Kitten Caboodle Grey,One Size Buy MeOut of StockOut of StockKitten Caboodle Grey $18.50 USD            (3),/us/kitten-caboodle-grey-kic3gr/,2023-12-14 14:26:25
14,ff962de4-684f-4442-b208-51af6ccd9bac,Rory Le Courageux Petit Lion & Fuddlewuddle Lion,Medium - 190Buy MeOut of StockRory Le Courageux Petit Lion & Fuddlewuddle Lion $42.50 USD  ,/us/rory-le-courageux-petit-lion-fuddlewuddle-lion-setbk4blf/,2023-12-14 14:26:25
15,cb7b744e-8271-4fb2-95de-f3364617b883,Delano Dorado Fish,One Size  - 782Buy MeOut of StockDelano Dorado Fish $27.50 USD            (7),/us/delano-dorado-fish-del3d/,2023-12-14 14:26:25
16,b78cf467-f392-4a7d-a301-7561aa78f04d,Viggo Mammoth,One Size  - 208Buy MeOut of StockViggo Mammoth $70.00 USD            (11),/us/viggo-mammoth-v2mam/,2023-12-14 14:26:25
17,3c907829-a1e7-4c74-8062-5935472ead23,Smudge Rabbit,Medium  - 369Buy MeOut of StockLimited StockSmudge Rabbit $30.00 USD            (14),/us/smudge-rabbit-smg2r/,2023-12-14 14:26:25
18,1bc6497a-69d5-4366-856a-ef5526192410,Personalised Bashful Petal Bunny Medium,Medium  - 1453Buy MeOut of StockPersonalisedPersonalised Bashful Petal Bunny Medium $31.00 USD  ,/us/personalised-bashful-petal-bunny-medium-persbas3pet/,2023-12-14 14:26:25
19,ae2c6203-71fa-4db2-8a13-5f4c698526cb,When I Am Sleepy Book,One Size Buy MeOut of StockOut of StockWhen I Am Sleepy Book $15.00 USD  ,/us/when-i-am-sleepy-book-bk4wis/,2023-12-14 14:26:25
20,a9d6c850-cdb9-4a6f-98b5-b69c70a351cb,Bashful Petal Bunny with Personalised Navy Jumper,Medium  - 1458Buy MeOut of StockPersonalisedBashful Petal Bunny with Personalised Navy Jumper $35.00 USD  ,/us/bashful-petal-bunny-with-personalised-navy-jumper-jumpnbas3pet/,2023-12-14 14:26:25
21,10641be8-7675-46ee-be15-99069eda140c,Bashful Golden Bunny with Personalised Cream Jumper,Medium  - 779Buy MeOut of StockPersonalisedBashful Golden Bunny with Personalised Cream Jumper $35.00 USD  ,/us/bashful-golden-bunny-with-personalised-cream-jumper-jumpcbas3gdb/,2023-12-14 14:26:25
22,6fd410a5-ea27-4a5c-8fbc-ee51b234dce6,Yummy Bear,One Size  - 712Buy MeOut of StockYummy Bear $18.00 USD            (3),/us/yummy-bear-yum6bear/,2023-12-14 14:26:25
23,9ee3094a-98ce-4282-ba25-6659070bfef3,Bashful Fudge Bunny with Personalised Cream Jumper,Medium  - 8Buy MeOut of StockPersonalisedBashful Fudge Bunny with Personalised Cream Jumper $35.00 USD  ,/us/bashful-fudge-bunny-with-personalised-cream-jumper-jumpcbas3fud/,2023-12-14 14:26:25
24,9a38d21f-e6f4-4e94-b320-bf8e143ff113,Seraphina Pegasus,One Size  - 462Buy MeOut of StockSeraphina Pegasus $68.50 USD            (9),/us/seraphina-pegasus-ser1p/,2023-12-14 14:26:25
25,aa61ec29-f019-4841-bf08-1d9c3cac6a5f,Bashful Pink Bunny,Huge Large Medium Tiny Buy MeOut of StockBashful Pink Bunny $25.00 USD            (11),/us/bashful-pink-bunny-bas4bp/,2023-12-14 14:26:25
26,72f968d4-44da-4b27-816f-a4bd583323f8,Fou Fou Peacock,One Size  - 567Buy MeOut of StockFou Fou Peacock $28.50 USD            (1),/us/fou-fou-peacock-fou3p/,2023-12-14 14:26:25
27,aa865bd2-569a-4180-87c7-5eb8c8167f5c,Otto Sausage Dog Bag Charm,One Size  - 4609Buy MeOut of StockOtto Sausage Dog Bag Charm $23.00 USD  ,/us/otto-sausage-dog-bag-charm-ot4bcsd/,2023-12-14 14:26:25
28,2c51f480-f2af-413c-898d-67409e43039b,Yummy Duckling,One Size Buy MeOut of StockOut of StockYummy Duckling $18.00 USD            (8),/us/yummy-duckling-yum6dk/,2023-12-14 14:26:25
