jellycatid,jellycatname,category,link,imagelink,datecreated
80676ce0-30fe-4095-b283-1ca2536c3625,Bashful Luxe Bunny Azure,Collections/Bashful Bunnies,/us/bashful-luxe-bunny-azure-bas3azu/,https://www.jellycat.com/images/products/medium/BAS3AZU.jpg,2024-01-09 16:10:53
d5d86e04-d9e8-4116-814b-7e40f25cceeb,All Kinds of Cats Book,Books/Story Books,/us/all-kinds-of-cats-book-bk4cats/,https://www.jellycat.com/images/products/medium/BK4CATS.jpg,2024-01-09 16:10:53
a07fd8f8-d7ed-4d87-a046-30c0cfc30212,Fergus Frog,Collections/Super Softies,/us/fergus-frog-ff3fe/,https://www.jellycat.com/images/products/medium/FF3FE.jpg,2024-01-09 16:10:53
b0bf0679-c7e8-424c-879a-4ffc11521ac4,Jellycat Head Giant,Collections/Super Softies,/us/jellycat-head-giant-jelc1d/,https://www.jellycat.com/images/products/medium/JELC1D.jpg,2024-01-09 16:10:53
e281de19-a7ef-4d5a-9565-382a9ed0508a,Jellycat Jack,Collections/Super Softies,/us/jellycat-jack-jelc3m/,https://www.jellycat.com/images/products/medium/JELC3M.jpg,2024-01-09 16:10:53
30a79ef7-e89b-4076-8307-56eafe660404,Jellycat Bag Charm,Collections/Super Softies,/us/jellycat-bag-charm-jelc4bc/,https://www.jellycat.com/images/products/medium/JELC4BC.jpg,2024-01-09 16:10:53
ad484d46-aefd-40bb-b067-3572bbe66108,Jellycat Bag,Collections/Super Softies,/us/jellycat-bag-jelc4bg/,https://www.jellycat.com/images/products/medium/JELC4BG.jpg,2024-01-09 16:10:53
c8181793-9570-4db8-ad6a-752362be77c7,Junglie Monkey,Collections/Super Softies,/us/junglie-monkey-jun3mk/,https://www.jellycat.com/images/products/medium/JUN3MK.jpg,2024-01-09 16:10:53
0314adf9-d847-448a-bf0e-51322d916ac5,Truffles Sheep,Collections/Super Softies,/us/truffles-sheep-tr2se/,https://www.jellycat.com/images/products/medium/TR2SE.jpg,2024-01-09 16:10:53
15e8a218-46a4-4d00-a086-c84e8b49a6bc,Golden Dragon,Collections/Beautifully Scrumptious,/us/golden-dragon-gld2dd/,https://www.jellycat.com/images/products/medium/GLD2DD.jpg,2024-01-09 16:10:53
1f4bf1c2-52b6-4b2b-ba40-f702196c13f8,Golden Dragon Bag Charm,Bags/Bag Charms,/us/golden-dragon-bag-charm-gld4bc/,https://www.jellycat.com/images/products/medium/GLD4BC.jpg,2024-01-09 16:10:53
